valid_website,name
http://0.0.26.69/,0.0.26.69
http://11worcesterondurban.co.za/,11worcesterondurban.co.za
http://1202-on-cowgill.business.site/,1202-on-cowgill.business.site
http://14penguinplace.simplesite.com/,14penguinplace.simplesite.com
http://15-witpeer-street-guesthouse.business.site/,15-witpeer-street-guesthouse.business.site
http://22dielaan.co.za/,22dielaan.co.za
http://22vanwijkstreettouristaccommodation.southafricahotels.website/,22vanwijkstreettouristaccommodation.southafricahotels.website
http://24degreessouth.co.za/,24degreessouth.co.za
http://25jacarandalodge.tk/,25jacarandalodge.tk
http://2inn1.com/,2inn1.com
http://30onwhites.co.za/,30onwhites.co.za
http://4-winds-guest-lodge.business.site/,4-winds-guest-lodge.business.site
http://50shadesbnb.co.za/,50shadesbnb.co.za
http://53pyracanthastreet.southafricahotels.website/,53pyracanthastreet.southafricahotels.website
http://65oncliff.com/,65oncliff.com
http://7-on-disa-self-catering-accommodation.business.site/,7-on-disa-self-catering-accommodation.business.site
http://777guesthouse.co.za/,777guesthouse.co.za
http://78on5th.co.za/index.php,78on5th.co.za
http://80onbenade.co.za/contact-us/,80onbenade.co.za
http://93oncelliers.co.za/,93oncelliers.co.za
http://a81746.wix.com/shadowlands,a81746.wix.com
http://aabadimountaincamp.com/,aabadimountaincamp.com
http://aandster.co.za/,aandster.co.za
http://abendruheguesthouse.co.za/,abendruheguesthouse.co.za
http://abnb.me/EVmg/jIWDKKeKIy,abnb.me
http://abnb.me/R1mxgknp7L,abnb.me
http://absolutebeach.co.za/,absolutebeach.co.za
http://absolutegetaways.co.za/self-catering-accommodation-tsitsikamma/beach-house/,absolutegetaways.co.za
http://acaciaklerksdorp.co.za/,acaciaklerksdorp.co.za
http://acacialodge.co.za/,acacialodge.co.za
http://accommodationrustenburg.co.za/,accommodationrustenburg.co.za
http://acountrygarden.co.za/,acountrygarden.co.za
http://adagioguesthouse.co.za/,adagioguesthouse.co.za
http://adamspalmmotel.co.za/,adamspalmmotel.co.za
http://adamsview.co.za/,adamsview.co.za
http://addogamelodge.co.za/,addogamelodge.co.za
http://addopalace.co.za/,addopalace.co.za
http://adventuretrails.co.za/blog/,adventuretrails.co.za
http://aerieinnvt.com/,aerieinnvt.com
http://afantasea.co.za/,afantasea.co.za
http://africabb.co.za/,africabb.co.za
http://africadawnguesthouse.co.za/contact_african_dawn.html,africadawnguesthouse.co.za
http://africamps.com/farm/oudtshoorn-klein-karoo/,africamps.com
http://africanarraylodge.co.za/,africanarraylodge.co.za
http://africanivoryroute.co.za/camps/fundudzi,africanivoryroute.co.za
http://africanperfection.co.za/accommodation/aloe-again-simply-self-catering/,africanperfection.co.za
http://africanperfection.co.za/room/3-pepper/,africanperfection.co.za
http://africanphoenixgh.co.za/,africanphoenixgh.co.za
http://afsaaltoti.co.za/,afsaaltoti.co.za
http://agriturismo.it/breda,agriturismo.it
http://aha.co.za/gateway-hotel/,aha.co.za
http://ahundredthousandwelcomesbb.southafricahotels.website/,ahundredthousandwelcomesbb.southafricahotels.website
http://airbnb.com/,airbnb.com
http://airwellbnb.com/,airwellbnb.com
http://albertfallscountryestate.co.za/index.html,albertfallscountryestate.co.za
http://alhamrahoteldurban.wixsite.com/,alhamrahoteldurban.wixsite.com
http://alilaliguestvilla.co.za/,alilaliguestvilla.co.za
http://alleebleue.co.za/bistro/,alleebleue.co.za
http://aloha-kommetjie.co.za/,aloha-kommetjie.co.za
http://alteschmiede.co.za/,alteschmiede.co.za
http://amalfiatlantic.com-capetown.com/,amalfiatlantic.com-capetown.com
http://amandlaguesthouse.co.za/,amandlaguesthouse.co.za
http://amblewood-kenton.co.za/,amblewood-kenton.co.za
http://amibeth-guest-cottage.business.site/,amibeth-guest-cottage.business.site
http://amourlefleur.co.za/,amourlefleur.co.za
http://anchorageinnvt.com/,anchorageinnvt.com
http://anchorcreek.co.za/,anchorcreek.co.za
http://andesclarens.co.za/,andesclarens.co.za
http://anewhotels.com/hotels/hluhluwe-safaris/,anewhotels.com
http://anewhotels.com/hotels/ingeli-forest-spa/,anewhotels.com
http://angelaslodge.com/,angelaslodge.com
