id,place_id,name,formatted_address,formatted_phone_number,international_phone_number,lat,long,rating,url,vicinity,website,state,city
23176,ChIJ-Yo05-XfeB4R7PB9jq_tbow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Western Cape,keurbooms river
34478,ChIJ7Wn60Zlq9x4R2TgsnSv5VLc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KwaZulu Natal,tinley manor estate
20780,ChIJK3FPaRu7zB0RZ2rT04-a4LQ,!Khwa ttu,"Grootwater Farm, R27, Yzerfontein, 7351, Western Cape, South Africa, South Africa",022 492 2998,+27 22 492 2998,-33.36146,18.27153,4.4,https://maps.google.com/?cid=13033587264135064167,"Grootwater Farm, R27, Yzerfontein, 7351, Western Cape, South Africa",https://www.khwattu.org/,Western Cape,swartwater
31126,ChIJU99kDiQPLxwRExBDtyU7_uI,""" 1/2 Pad "" Gastenhuis.","68 Hoof St, Brandvlei, 8915, South Africa",083 658 3096,+27 83 658 3096,-30.4646761,20.489931,0,https://maps.google.com/?cid=16356575929830674451,"68 Hoof Street, Brandvlei",https://m.facebook.com/reizen.co.za/posts/1574927509301654,Northern Cape,stink puts
31659,ChIJe5rDPREPLxwRj6nSAy0Iqpw,""" 1/2 Pad "" Guesthouse.","68 Hoof St, Brandvlei, 8915, South Africa",083 658 3096,+27 83 658 3096,-30.46465,20.4897866,5,https://maps.google.com/?cid=11288844405388257679,"68 Hoof Street, Brandvlei",http://reizen.co.za/,Northern Cape,de vloere
23594,ChIJD9rK1IwQzh0RFokDJhhdr7U,"""The WHALE COVE""","24 Kilarney St, De Kelders, Gansbaai, 7220, South Africa",not available,not available,-34.567981,19.35453,4.6,https://maps.google.com/?cid=13091785000087685398,"24 Kilarney Street, De Kelders, Gansbaai",not available,Western Cape,die kelders
34786,ChIJoeN-4takWB4RxDXNcN6Sd8s,“Chinese Rose Cottages”,"14 Vienna Dr, Uvongo, 4270, South Africa",039 315 5455,+27 39 315 5455,-30.827435,30.393462,4.3,https://maps.google.com/?cid=14661348596000830916,"14 Vienna Drive, Uvongo",http://www.tchorniy-accommodation.blogspot.com/,KwaZulu Natal,uvongo
34377,ChIJ4Uge_R6V5B4ReuY1iqgOaeA,(Kosi Bay Private Lodge) Visgraat Luxury Self Catering Units,"R560 Kwangwanase, Mvutshana, 3973, South Africa",083 262 4865,+27 83 262 4865,-26.9608283,32.8075793,5,https://maps.google.com/?cid=16170472054086559354,R560 Kwangwanase,http://www.kosibayprivatelodge.co.za/,KwaZulu Natal,thelizolo
33045,ChIJj0HYsirgZh4RrNV66ZTbEHU,@ Leisure Lodge,"1 Drake Rd, Stirling, East London, 5241, South Africa",083 500 9002,+27 83 500 9002,-32.991526,27.923914,4.3,https://maps.google.com/?cid=8435483534683723180,"1 Drake Road, Stirling, East London",http://www.leisurelodge.co.za/,Eastern Cape,kwa-dick
21110,ChIJyxgMBaxH0R0RWf-HTyvbrLA,@ The C Self catering Accommodation,"1002 Duinepark, Witsand, 6666, Western Cape, South Africa, South Africa",028 537 1291,+27 28 537 1291,-34.39253,20.86184,3.7,https://maps.google.com/?cid=12730791225733939033,"1002 Duinepark, Witsand, 6666, Western Cape, South Africa",not available,Western Cape,vermaaklikheid
21602,ChIJHWsAEqOGzR0RIZRm4b-L5xI,@ The River,"Situated just off the R43, Worcester, South Africa",082 886 9585,+27 82 886 9585,-33.7434425,19.48318,4,https://maps.google.com/?cid=1362211068539474977,"Situated just off the R43, Worcester",https://www.attheriver.co.za/,Western Cape,kwaggaskloofdam
6527,ChIJYesZZIqhwh4ROiPWYLx11A0,@ The Village Lodge,"R536, Hazyview, 1242, South Africa",072 196 6562,+27 72 196 6562,-24.9645884,31.2898931,4,https://maps.google.com/?cid=996550869494670138,"R536, Hazyview",https://de-village-lodge.business.site/,Mpumalanga,Ehlanzeni
21535,ChIJ_0v4WYkoMxwRuZTD5zDGtBQ,@1926,"Corner of Church & Voortrekker Road, Piketberg, 7320, South Africa",083 261 8119,+27 83 261 8119,-32.906116,18.754938,4.4,https://maps.google.com/?cid=1492035289915561145,"Corner of Church & Voortrekker Road, Piketberg",not available,Western Cape,koringberg
22036,ChIJI1_kRXUpMxwRAoZTrpriZ98,@1926,"Corner of Church &, Voortrekker St, Piketberg, 7320, South Africa",072 554 5926,+27 72 554 5926,-32.906116,18.7551043,0,https://maps.google.com/?cid=16098084547036677634,"Corner of Church &, Voortrekker Street, Piketberg",https://1926-self-catering.business.site/,Western Cape,piketberg
6562,ChIJRWRYSh-tJhwR_XHIjbWkSuI,@Belurana River Manor,"2B Schroder St, Upington, 8801, South Africa",054 332 4323,+27 54 332 4323,-28.4633288,21.2415901,4.1,https://maps.google.com/?cid=16306026500523061757,"2B Schroder Street, Upington",http://www.beluranaupington.com/,Northern Cape,Benede Oranje
16544,ChIJ8czBjcoxvh4RXjNhRdJ_OxA,@four guest house.Brits,"4 Schutte Ave, Brits, 0250, South Africa",082 224 6656,+27 82 224 6656,-25.623912,27.7864844,3.2,https://maps.google.com/?cid=1169669069316633438,"4 Schutte Avenue, Brits",http://www.four-brits.co.za/,North West,klipgat
16704,ChIJP-cutTTxlh4RlTaXd1WiJBQ,@Grace Guesthouse,"3 Anton St, Wilkoppies, Klerksdorp, 2571, South Africa",082 936 8803,+27 82 936 8803,-26.82944,26.67434,3.9,https://maps.google.com/?cid=1451463467882460821,"3 Anton Street, Klerksdorp",not available,North West,wilkoppies
16004,ChIJQwrU6jcfvR4R6mBOyUZLam4,@Home Guest House,"17 Mooi St, Zeerust, 2865, South Africa",082 888 8786,+27 82 888 8786,-25.53807,26.06649,4.5,https://maps.google.com/?cid=7956254459100553450,"17 Mooi Street, Zeerust",not available,North West,zeerust
